 ا 	 A
 علاءالدين مڠڠسوت سديكيت كتڤي سمنتارا تون نيرمالا مڠمبيل تمڤتڽ 	 Alauddin mengengsot sedikit ke tepi sementara Tun Nirmala mengambil tempatnya
 سبلوم ماتاهاري ممونچولكن ديري دي مولا مڠڬمبور تانه مڠڬالي لوبڠ 	 Sebelum matahari memunculkan diri dia mula menggembur tanah menggali lubang
 اڠين مندرو-درو بياسن ڤرتمبوڠن انتارا دي دان ساتو لمباݢ دهادڤنڽ 	 Angin menderu-deru biasan pertembungan antara dia dan satu lembaga di hadapannya
 سريڠ اورڠ باوهنڽ سهاج دكره كماري باڬي مڠوتيڤ چوكاي سابن ڤورنام 	 Sering orang bawahannya sahaja dikerah ke mari bagi mengutip cukai saban purnama
 اكو ترهارو بودق ايت كليهتن برسهاج نامون اد ڬترن ڤد نادا سواراڽ 	 Aku terharu Budak itu kelihatan bersahaja namun ada getaran pada nada suaranya
 بلنتن بردوري ايت تيدق منججق تانه باڬايكن ترسكت دتڠه-تڠه ڤرڬرقن 	 Belantan berduri itu tidak menjejak tanah bagaikan tersekat di tengah-tengah pergerakan
 تيدق داڤت دترجمه كأداءن اين اوليه عقل  اڠكاو مڠوتاكن كات-كاتمو 	 Tidak dapat diterjemah keadaan ini oleh akal  Engkau mengotakan kata-katamu
 توبوهڽ ممبوڠكوق سديكيت سمبيل سبله تاڠن منوڠكت توبوه دأتس لوتوت 	 Tubuhnya membongkok sedikit sambil sebelah tangan menongkat tubuh di atas lutut
 ڤنداي اڠكاو يا سكالي لاڬي باهو نيرنام منجادي مڠسا تومبوقن نديم 	 Pandai engkau ya Sekali lagi bahu Nirnama menjadi mangsa tumbukan Nadim
 مڠيڠتكن ديريڽ بهاوا دي برسام امڤت لاڬي راكن دان بوكنڽ برسأورڠن 	 Mengingatkan dirinya bahawa dia bersama empat lagi rakan dan bukannya berseorangan
 اڠكاو ممباوا مشرک سباڬاي تمن  دي ماسيه جاهيل دان ڤرلوكن ديديقن 	 Engkau membawa musyrik sebagai teman Dia masih jahil dan perlukan didikan
 ڤرلاهن-لاهن ڤنديكر يڠ منجادي لاون نيرنام ايت مناريق سڽومن ڤنجڠ 	 Perlahan-lahan pendekar yang menjadi lawan Nirnama itu menarik senyuman panjang
 اوه اينله اورڠ يڠ برتڠڬوڠجواب مڠلواركن باڬق دورجان دري ايستانڽ 	 Oh inilah orang yang bertanggungjawab mengeluarkan Bagak Durjana dari istananya
 كلنامو ڤون بلوم برأخير بوكن  نيرنام مڠڠڬوق سبلوم ملرايكن سمبهڽ 	 Kelanamu pun belum berakhir bukan Nirnama mengangguk sebelum meleraikan sembahnya
 ماسيڠ٢ مڠاچوكن سنجات كڤد كومڤولن للاكي يڠ سدڠ برهادڤن دڠن مريک 	 Masing-masing mengacukan senjata kepada kumpulan lelaki yang sedang berhadapan dengan mereka
 تمبهن ميمڠ سوده سمڤاي ماس اونتوق دي منوكر ڤاكاين يڠ لبيه برسيه 	 Tambahan memang sudah sampai masa untuk dia menukar pakaian yang lebih bersih
 هاه ڤستيڽ لقسامان جبت تله منجالين هوبوڠن دڠن اورڠ كاي بسر تڠڬڠ 	 Hah pastinya Laksamana Jebat telah menjalin hubungan dengan Orang Kaya Besar Tanggang
 تيدق چوكوڤكه سڬالا هيبورن دبهترا اين كروتن ڤد داهي نديم برتمبه 	 Tidak cukupkah segala hiburan di bahtera ini Kerutan pada dahi Nadim bertambah
 باڬايمان نيرنام سوديكه اڠكاو برتاروڠ دڠنكو اكو ماهو منيواسكنمو 	 Bagaimana Nirnama Sudikah engkau bertarung denganku Aku mahu menewaskanmu
 اڤاكه اين تمڤت توق ڬورو ڤركاس اديواج برتاڤ بانڠ منوليه سكليليڠ 	 Apakah ini tempat Tok Guru Perkasa Adiwaja bertapa Banang menoleh sekeliling
 تاڤي كالاو اڠكاو ڤنجڠ بيچارا بوليه بوات اورڠ ساكيت هاتي مندڠرڽ 	 Tapi kalau engkau panjang bicara boleh buat orang sakit hati mendengarnya
 سأكن-اكن اڤ يڠ برلاكو بوكنله سسواتو يڠ منعجوبكن دان لوار بياسا 	 Seakan-akan apa yang berlaku bukanlah sesuatu yang menakjubkan dan luar biasa
 ڤراسن اكن كأداءن نديم نيرنام ترسڽوم كچيل سرايا مڠڠكت سبله كنيڠ 	 Perasan akan keadaan Nadim Nirnama tersenyum kecil seraya mengangkat sebelah kening
 باڬايمان بوليه سمڤاي كتاهڤ سبڬيني  نيرنام مناريق نفس دالم ديام 	 Bagaimana boleh sampai ke tahap sebegini  Nirnama menarik nafas dalam diam
 دڠن كقواتن درڤد مريک اكو داڤت ڤولا منجامو ڤڠهوني ڤركامڤوڠن اين 	 Dengan kekuatan daripada mereka aku dapat pula menjamu penghuni perkampungan ini
 ماري ماري هيلڠكن دهاݢ دڠن اءير كلاڤ اينق ساتو لاڬي سوارا كدڠرن 	 Mari mari hilangkan dahaga dengan air kelapa enak Satu lagi suara kedengaran
 دسكليليڠ مريک ببراڤ ميجا دڤنوهي ڤلڠڬن يڠ منعمتي اءير كلاڤ مودا 	 Di sekeliling mereka beberapa meja dipenuhi pelanggan yang menikmati air kelapa muda
 باڬايمان اڠكاو ماهو ممبواتكن ڤوترا سراڤي ڤرڬي دي كسايڠن مشاركت 	 Bagaimana engkau mahu membuatkan Putera Serapi pergi Dia kesayangan masyarakat
 هابيس كناڤ اڠكاو تق مڽرتاءيڽ  اكو بوكن ڤنديكر  سموا كتاوا لاڬي 	 Habis kenapa engkau tak menyertainya  Aku bukan pendekar  Semua ketawa lagi
 جنين سمڤت برتاڽ ببراڤ ڤركارا اكن عباده٢ يڠ دعملكن اوليه نيرنام 	 Jenin sempat bertanya beberapa perkara akan ibadah-ibadah yang diamalkan oleh Nirnama
 كيت ڤرلو بربينچڠ اڤ ڤرانچڠن كيت اونتوق مڽياست لاتر ڤوترا سراڤي 	 Kita perlu berbincang apa perancangan kita untuk menyiasat latar Putera Serapi
 همڤير ستياڤ سودوت مصحف ايت دڤنوهي چاچتن بولتن دان تندا٢ توليسن 	 Hampir setiap sudut mushaf itu dipenuhi cacatan bulatan dan tanda-tanda tulisan
 بڬيتوله شيطان سوک ممڤرإيلوق-ايلوقكن كبوروقن اڬر دسوكاءي ماءنسي 	 Begitulah syaitan suka memperelok-elokkan keburukan agar disukai manusia
 نيرنام هاڽ مڠڬيليڠ دان مڠهنتر ڤمرڬين نديم برسام جنين دڠن ڤندڠن 	 Nirnama hanya menggeleng dan menghantar pemergian Nadim bersama Jenin dengan pandangan
 سبهاڬين سهاج ماسيه مليڠ-ليوق منجيلت ڤنوه سراكه ببراڤ بواه رومه 	 Sebahagian sahaja masih meliang-liuk menjilat penuh serakah beberapa buah rumah
 اد يڠ داتڠ برسنديرين اد يڠ داتڠ ممباوا راكن كلوارݢ اتاو ڤڽوكوڠ 	 Ada yang datang bersendirian ada yang datang membawa rakan keluarga atau penyokong
 جادي برمعنا  هاه برمعنا عالم اين اد ڤنچيڤتاڽ  نيرنام سڽوم ڤنجڠ 	 Jadi bermakna  Hah bermakna alam ini ada penciptanya  Nirnama senyum panjang
 بولتن بسر مڠليليڠي ڤوتري سنتوبوڠ دلاكوكن دالم ماس يڠ سكجڤ سهاج 	 Bulatan besar mengelilingi Puteri Santubong dilakukan dalam masa yang sekejap sahaja
 اكر كڤد سڠكيتا توانكو ڤوتري دڠن ڤوتري سجينجڠ اداله ڤوترا سراڤي 	 Akar kepada sengketa tuanku puteri dengan Puteri Sejinjang adalah Putera Serapi
 انته مڠاڤ كويق بيبير چندانا دڠن سڽومن تتكالا نيرنام مڽبوت نامڽ 	 Entah mengapa koyak bibir Cendana dengan senyuman tatkala Nirnama menyebut namanya
 چابرن ايت دساهوتڽ تنڤا برتڠڬوه عبارت اورڠ مڠنتوق دسوروڠكن بنتل 	 Cabaran itu disahutnya tanpa bertangguh ibarat orang mengantuk disorongkan bantal
 كليهتن ببراڤ كومڤولن تنترا بارو سهاج برڬرق كلوار دري كاوسن ايت 	 Kelihatan beberapa kumpulan tentera baru sahaja bergerak keluar dari kawasan itu
 دبلاكڠ توبوه سهلاي كاءين تبل يڠ تيدق داڤت دڤستيكن برأصل دري اڤ 	 Di belakang tubuh sehelai kain tebal yang tidak dapat dipastikan berasal dari apa
 كاكندا سراڤي اڤ يڠ سدڠ برلاكو ڤوتري سجينجڠ براوندور ببراڤ تاڤق 	 Kakanda Serapi apa yang sedang berlaku Puteri Sejinjang berundur beberapa tapak
 تيݢ ايكور اولر ڬرڬسي توروت مڽرڠ ڤنديكر برڤاروت ايت سچارا سرنتق 	 Tiga ekor ular gergasi turut menyerang pendekar berparut itu secara serentak
 والاوڤون هاڽ اءير تتاڤي سمبورن سبولت تومڤو ايت ممڤو ممبله باتو 	 Walaupun hanya air tetapi semburan sebulat tumpu itu mampu membelah batu
 راج ڤتير راج اءير اوروسكن بودق جهنم ايت  راج اءير كمبالي بڠكيت 	 Raja Petir Raja Air uruskan budak jahanam itu  Raja Air kembali bangkit
 ڤستيڽ سلطان منصور سدڠ برچندا بركناءن كتيادائن ككندا سولوڠ مريک 	 Pastinya Sultan Mansur sedang bercanda berkenaan ketiadaan kakanda sulung mereka
 انداي اديواج ممڤو مليهت دي ڤستي جيوا ڬوروڽ ايت اكن برتمبه راون 	 Andai Adiwaja mampu melihat dia pasti jiwa gurunya itu akan bertambah rawan
 داره ترڤرچيق كلنتاي بومي سمنتارا توبوه سلطان منصور تروس ترلنتڠ 	 Darah terpercik ke lantai bumi sementara tubuh Sultan Mansur terus terlentang
 ڤوترن باليق كواڠ برلاكو سمنتارا سڤاسڠ كاكي يڠ لاءين مڽاڤو بومي 	 Putaran balik kuang berlaku sementara sepasang kaki yang lain menyapu bumi
 سكالي-سكالا باتڠ ڤوكوق بسر يڠ منجادي تمڤت دودوق مريک اكن برڬڬر 	 Sekali-sekala batang pokok besar yang menjadi tempat duduk mereka akan bergegar
 سسوڠڬوهڽ لقسامان جبت يڠ ممباوا كامي كماري دان كامي هاڽ مڠيكوري 	 Sesungguhnya  Laksamana Jebat yang membawa kami ke mari dan kami hanya mengekori
 دي ممندڠ چندانا دري باوه کأتس سبلوم برهنتي ڤد واجه سريكندي ايت 	 Dia memandang Cendana dari bawah ke atas sebelum berhenti pada wajah srikandi itu
 قيصه ڤوتري ڬونوڠ ليدڠ كمودين مولا منجادي بواه مولوت رعيت جلاتا 	 Kisah Puteri Gunung Ledang kemudian mula menjadi buah mulut rakyat jelata
 كران ايت توها ڤوڽا ڤڠاروه يڠ همڤير مڠاتسي اكو دالم كراجاءن اين 	 Kerana itu Tuha punya pengaruh yang hampir mengatasi aku dalam kerajaan ini
 دي مڠناكن ڤرسالينن يڠ ساڠت اينده ممبواتكن سموا يڠ ممندڠڽ ترڤان 	 Dia mengenakan persalinan yang sangat indah membuatkan semua yang memandangnya terpana
 ڤينتو اوتام ايستان يڠ تادي ترتوتوڤ كمس تربوک كاسر مڠجوتكن سموا 	 Pintu utama istana yang tadi tertutup kemas terbuka kasar mengejutkan semua
 اڬام اين رحمة بوات سكالين عالم بوكن رحمة کأتس ديري سنديري سمات 	 Agama ini rahmat buat sekalian alam bukan rahmat ke atas diri sendiri semata
 سوڠڬوهڤون بڬيتو اوسيا يڠ سديكيت ايت بوكن مننداكن كممڤوانڽ رنده 	 Sungguhpun begitu usia yang sedikit itu bukan menandakan kemampuannya rendah
 كران ايت تون نيرمالا منمڤتكن كستوري اونتوق منجاݢ سمڤادن اوتارا 	 Kerana itu Tun Nirmala menempatkan Kasturi untuk menjaga sempadan utara
 چڤت٢ دي براوندور ممبواتكن توبوه مريک برلڠڬر دان سرڠن ايت تربطل 	 Cepat-cepat dia berundur membuatkan tubuh mereka berlanggar dan serangan itu terbatal
 والاو بلوم چوكوڤ سهاري منيڠڬلكن مريک دي سوده مريندوءي ايت سموا 	 Walau belum cukup sehari meninggalkan mereka dia sudah merindui itu semua
 اصلڽ سباڬاي لاتيهن تنڤا سدر تتاڤي كمودين منجادي كبياساءن هارين 	 Asalnya sebagai latihan tanpa sedar tetapi kemudian menjadi kebiasaan harian
 اڤاكه جاڬت سوچي بركموڠكينن مميمڤين سرڠن موسوه  كموڠكينن ايت اد 	 Apakah Jagat Suci berkemungkinan memimpin serangan musuh  Kemungkinan itu ada
 اديواج مڠڬرقكن داڬو ممينتا نيرنام منچابوت كريس ايت درڤد ساروڠڽ 	 Adiwaja menggerakkan dagu meminta Nirnama mencabut keris itu daripada sarungnya
 سبهاڬين جين ڤرلو دبونوه دڠن تيندقن اونتوق مڠهنتيكن ڤڠاروه مريک 	 Sebahagian jin perlu dibunuh dengan tindakan untuk menghentikan pengaruh mereka
 ملاک سرتا سلوروه ولايه اوجوڠ كمبالي دباوه ككواساءن توانكو جاڬت 	 Melaka serta seluruh Wilayah Ujong kembali di bawah kekuasaan Tuanku Jagat
 دي ترڬامام دڠن كسڠڬوڤن نيرنام اونتوق برتاروڠ دڠنڽ تنڤا ڤڠليهتن 	 Dia tergamam dengan kesanggupan Nirnama untuk bertarung dengannya tanpa penglihatan
 مڠاڤ اڠكاو مستي منجولوق سارڠ تبوان سوارا توها باڬايكن هليلينتر 	 Mengapa engkau mesti menjolok sarang tebuan Suara Tuha bagaikan halilintar
 اڠكاو ممينجم كقواتن مخلوق لاءين دي جوݢمولا مڠالون-ألونكن كريسڽ 	 Engkau meminjam kekuatan makhluk lain Dia juga mula mengalun-alunkan kerisnya
 ڤرڬرقنڽ ترلالو ڤانتس سهيڠݢ مات نيرنام سنديري تيدق داڤت مڠيكوري 	 Pergerakannya terlalu pantas sehingga mata Nirnama sendiri tidak dapat mengekori
 جلس هوبوڠن انتارا توها دان ڤوتري ڬونوڠ ليدڠ بوكنله بارو تربينا 	 Jelas hubungan antara Tuha dan Puteri Gunung Ledang bukanlah baru terbina
 كيقيننكو تيدق ترڬوڬه كران اكو تيدق مڠڬنتوڠكن ديري كڤد كقواتنكو 	 Keyakinanku tidak tergugah kerana aku tidak menggantungkan diri kepada kekuatanku
 مريک ڤرلو ملومڤوهكن تنترا برڬاجه دڠن مڽاسركن مات حيوان٢ ترسبوت 	 Mereka perlu melumpuhkan tentera bergajah dengan menyasarkan mata haiwan-haiwan tersebut
 تياد اوسها يڠ سيا٢ دالم اڬامکو واهاي جاڬت ڤمرينته ايندرا كايڠن 	 Tiada usaha yang sia-sia dalam agamaku wahai Jagat pemerintah Indera Kayangan
 دي هاڽ مڠڬرق كدوا-دوا تاڠن دان سرڠن٢ چندانا لڠسوڠ تيدق مڽنتوهڽ 	 Dia hanya menggerak kedua-dua tangan dan serangan-serangan Cendana langsung tidak menyentuhnya
 كساتوان انتارا كراجاءن٢ سمننجوڠ برديري دأتس كڤرچاياءن سسام كيت 	 Kesatuan antara Kerajaan-Kerajaan Semenanjung berdiri di atas kepercayaan sesama kita
 بيلڠن كامي جاءوه لبيه باڽق بربنديڠ ايندرا كايڠن اديواج برسوارا 	 Bilangan kami jauh lebih banyak berbanding Indera Kayangan Adiwaja bersuara
 والاو اڤ ڤون كسقتينمو اڠكاو تيدق اكن ممڤو ترلڤس دري ڤنجارا ايت 	 Walau apa pun kesaktianmu engkau tidak akan mampu terlepas dari penjara itu
 اكو اكن مميكول تڠݢوڠجواب اين سبايق موڠكين تروس جنين مڠڠكت سمبه 	 Aku akan memikul tanggungjawab ini sebaik mungkin Terus Jenin mengangkat sembah
 اه كمودين كراجاءن سراوا سوده لاما تيدق مڠڬرقكن سكين باڽق ارماد 	 Ah kemudian Kerajaan Serawa sudah lama tidak menggerakkan sekian banyak armada
 سموݢ هاري اين برأخير دڠن كمنڠن كيت  إن شاء الله ممندا بنداهارا 	 Semoga hari ini berakhir dengan kemenangan kita  Insya-Allah mamanda bendahara
 دتمبه دڠن جين يڠ مندمڤيڠي كقواتنڽ جلس بوكن كقواتن ماءنسي بياسا 	 Ditambah dengan jin yang mendampingi kekuatannya jelas bukan kekuatan manusia biasa
 كقواتن مريک هاڽله دڠن مڠهارڤكن لبيه باڽق بنتوان دري سڬنتيڠ كرا 	 Kekuatan mereka hanyalah dengan mengharapkan lebih banyak bantuan dari Segenting Kra
 سياڤا نام ڤق چيک نيرنام مڠهولوركن تاڠن اونتوق منجابت للاكي ايت 	 Siapa nama pak cik Nirnama menghulurkan tangan untuk menjabat lelaki itu
 والاو بلوم منجادي سلطان ڤاڬي اين دي تله دساروڠكن ڤاكاين  كبسرن 	 Walau belum menjadi sultan pagi ini dia telah disarungkan pakaian kebesaran
 هاه جادي راج اوڠ مها ڤريتا دريا ماهو ممبوقتيكن دياله يڠ ترهيبت 	 Hah jadi Raja Ong Maha Perita Deria mahu membuktikan dialah yang terhebat
 مڠڠڬوق ڤرلاهن سمبيل ماتڽ تڤت ممندڠ للاكي يڠ سدڠ برسمايم ترسبوت 	 Mengangguk perlahan sambil matanya tepat memandang lelaki yang sedang bersemayam tersebut
 سريكندي ايت تراوندور كاكيڽ ترسادوڠ تڠݢ دان ڤوڠڬوڠڽ مڠهڽق لنتاي 	 Srikandi itu terundur kakinya tersadung tangga dan punggungnya menghenyak lantai
 اكو دفهمکن يڠ توانكو دان لقسامان جبت سڤرڬوروان دڠن نيرنام  بنر 	 Aku difahamkan yang tuanku dan Laksamana Jebat seperguruan dengan Nirnama  Benar
 اين كران مريک بلوم بنر٢ چوكوڤ ريحت دان كچدراءن بلوم بنر٢ دراوت 	 Ini kerana mereka belum benar-benar cukup rehat dan kecederaan belum benar-benar dirawat
 كڤرچاياءن كامي هاڽ كڤد الله سبحانه وتعالى دان اڤ يڠ دي سوسونكن 	 Kepercayaan kami hanya kepada Allah subhanahu wa taala dan apa yang Dia susunkan
 اڠكاو تيدق ماهو ملڤسكن كواس دان منچاري جالن اونتوق تروس بركواس 	 Engkau tidak mahu melepaskan kuasa dan mencari jalan untuk terus berkuasa
 دي كمودين دسيبوقكن اوليه تواجهن٢ سنجات دري بلاكڠ كيري دان كانن 	 Dia kemudian disibukkan oleh tujahan-tujahan senjata dari belakang kiri dan kanan
 ممڤوس كالين بردوا توڠكت سيحير ايت دچواءكن كأره كستوري دان جنين 	 Mampus kalian berdua Tongkat sihir itu diacukan ke arah Kasturi dan Jenin
 كالين فيكير دڠن اڠک كالين اكو اكن تومبڠ دڠن موده دي كتاوا قوات 	 Kalian fikir dengan angka kalian aku akan tumbang dengan mudah Dia ketawa kuat
 كمودين ناءيق ببراڤ ڬومڤلن تانه دبنتوق سڤرتي ماءنسي برتوبوه ساس 	 Kemudian naik beberapa gumpalan tanah dibentuk seperti manusia bertubuh sasa
 سڤولوه ماءنسي تانه يڠ برديري دسكليليڠڽ تروس برڬرق منوجو چندانا 	 Sepuluh manusia tanah yang berdiri di sekelilingnya terus bergerak menuju Cendana
 كدوا-دوا مريک ترجارق عاقبة ترڤلنتيڠ كأره برلاونن سكيتر تيݢ دڤا 	 Kedua-dua mereka terjarak akibat terpelanting ke arah berlawanan sekitar tiga depa
 اين ممبواتكن باڽق تنترا سموتر ڤوتيه دبونوه موسوه عاقبة كالڤاءن 	 Ini membuatkan banyak tentera Semutar Putih dibunuh musuh akibat kealpaan
 اڠكاو ماهو منچمركنڽ كران هاتي يڠ كوتور هاڽ اكن دتعلوقي ڤراساءن 	 Engkau mahu mencemarkannya kerana hati yang kotor hanya akan ditakluki perasaan
 ستياڤ نفس يڠ دهيلاڽ تراس برت باڬايكن دي سدڠ منداكي ڬونوڠ تيڠڬي 	 Setiap nafas yang dihelanya terasa berat bagaikan dia sedang mendaki gunung tinggi
 دي سدڠ مڠليليڠي ميدن ڤرڠ دڠن منوڠڬڠ سإيكوركودا يڠ بسرلاڬي ڬاڬه 	 Dia sedang mengelilingi medan perang dengan menunggang seekor kuda yang besar lagi gagah
 ادكالا بيلا دي ترجومڤا رعيت يڠ ماسيه كسوسهن دي اكن تروس ممبنتو 	 Adakala bila dia terjumpa rakyat yang masih kesusahan dia akan terus membantu
 علاءالدين منوندوق ممبنركن سمبيل ملڠكه كأره جبت كستوري دان تڠݢڠ 	 Alauddin menunduk membenarkan sambil melangkah ke arah Jebat Kasturi dan Tanggang
 تڠݢڠ جوݢ دبريكن ڤلواڠ اونتوق ممباڠونكن ارماد لاءوت سموتر ڤوتيه 	 Tanggang juga diberikan peluang untuk membangunkan armada laut Semutar Putih
 هندقله دلالودڠن راس تولق انسوريڠ تيڠڬي دان كلاڤڠن دادا يڠ لواس 	 Hendaklah dilalui dengan rasa tolak ansur yang tinggi dan kelapangan dada yang luas
 نيرنام اڠكاو تاهو اكو اكن مڽاهوت چابرنمو جک كبيجقساناءنكو دچابر 	 Nirnama engkau tahu aku akan menyahut cabaranmu jika kebijaksanaanku dicabar
 بودق ايت كليهتن ڬمبيرا سننتياس باڬاي تياد اڤ يڠ منجادي كريساوان 	 Budak itu kelihatan gembira senantiasa bagai tiada apa yang menjadi kerisauan
 اد جوݢ يڠ مڽاتاكن بهاوا ددالم ڬونوڠ ڤولاي اد رقساس يڠ سدڠ تيدور 	 Ada juga yang menyatakan bahawa di dalam Gunung Pulai ada raksasa yang sedang tidur
 ڤانتس نيرنام مڽبوت كلمة سوچي ايت مموتوڠ بيچارا جبت درڤد سمڤورنا 	 Pantas Nirnama menyebut kalimah suci itu memotong bicara Jebat daripada sempurna
 نديم ڤراسن اكن كأداءن ترسبوت تتاڤي مميليه اونتوق تيدق بركات اڤ٢ 	 Nadim perasan akan keadaan tersebut tetapi memilih untuk tidak berkata apa-apa
 نامون جاڬت سوچي تركنل دڠن واجهڽ يڠ امت تمڤن سوارا يڠ ترامت مردو 	 Namun Jagat Suci terkenal dengan wajahnya yang amat tampan suara yang teramat merdu
 واجه ايت كمبالي سڤرتي بياسا دڠن بيبير نيرنام تركومت-كاميت سمولا 	 Wajah itu kembali seperti biasa dengan bibir Nirnama terkumat-kamit semula
 جاڠن سكالي-كالي اڠكاو براني مڠاجق اورڠ راماي برمعصية دأتس نامكو 	 Jangan sekali-kali engkau berani mengajak orang ramai bermaksiat di atas namaku
 هاه الڠكه باءيقڽ كالاو دي برسيكڤ بڬيتو ساعت اكو دجولوركن كلاءوت 	 Hah alangkah baiknya kalau dia bersikap begitu saat aku dijulurkan ke laut
 نيرنام ميمڠ سلاڬي تيدق ڤرلو بركراس اكن تڬر منچاري جالن يڠ داماي 	 Nirnama memang selagi tidak perlu berkeras akan tegar mencari jalan yang damai
 راجونا دامر بانڠ دان ديريڽ مڠڤل ڤنومبوق دان مڠڠكت كدوا-دوا تاڠن 	 Rajuna Damar Banang dan dirinya mengepal penumbuk dan mengangkat kedua-dua tangan
 مات نديم يڠ ستيا ممرهاتي دڠن تليتي سمنجق تادي تربلالق سرتا مرتا 	 Mata Nadim yang setia memerhati dengan teliti semenjak tadi terbelalak serta merta
 كريڠت ممباساهي واجه دان سلوروه توبوه باڬاي دي دڤانه تريق منتاري 	 Keringat membasahi wajah dan seluruh tubuh bagai dia dipanah terik mentari
 تڠڬڠ سدڠ مڠهمڤيري مريک سمبيل دإيريڠي دوا اورڠ ڤرمڤوان يڠ روڤاون 	 Tanggang sedang menghampiri mereka sambil diiringi dua orang perempuan yang rupawan
 نامون نيرنام تيدق ماهو بربيچارا دان چندانا ڤولا تيدق ماهو ممقسا 	 Namun Nirnama tidak mahu berbicara dan Cendana pula tidak mahu memaksa
 اكو جڠک ايت مانوق ڤنسوه ماكنن تراديسي اورڠ ملايو دكراجاءن سراوا 	 Aku jangka itu Manuk Pansuh makanan tradisi orang melayu di Kerajaan Serawa
 ڤرمڤوان توا ايت ملاءوڠ سمبيل دبنتو سواميڽ منداكي انق٢ تڠݢ بهترا 	 Perempuan tua itu melaung sambil dibantu suaminya mendaki anak-anak tangga bahtera
 ماكنن سدميكين مروڤاكن كڬمارانمو اورڠ بسر كاي تڠڬڠ اكو تيدق مڽڠک 	 Makanan sedemikian merupakan kegemaranmu Orang Besar Kaya Tanggang Aku tidak menyangka
 اڤاكه بنر ايت بوكن ايبو باڤ اورڠ كاي بسر تڠڬڠ نديم ممندڠ نيرنام 	 Apakah benar itu bukan ibu bapa Orang Kaya Besar Tanggang Nadim memandang Nirnama
 دروان اڠين يڠ تيبا٢ مڠڬيلا مڠڬڬركن بهترا ميليق اورڠ كاي بسر ايت 	 Deruan angin yang tiba-tiba menggila menggegarkan bahtera milik Orang Kaya Besar itu
 تتاڤي اڤ يڠ سنتياس برلاكو نيرنام تيدق اكن ڤرنه لاري درڤد ممبنتو 	 Tetapi apa yang sentiasa berlaku Nirnama tidak akan pernah lari daripada membantu
 اكو بوليه مودا سبڬيني ماءنسي ايت كتاوا سرايا ممينتل رمبوت ڤنجڠڽ 	 Aku boleh muda sebegini Manusia itu ketawa seraya memintal rambut panjangnya
 تيبا٢ اير موک ماءنسي روڤاون ايت براوبه باڬاي كاتق دتيمڤا كماراو 	 Tiba-tiba air muka manusia rupawan itu berubah bagai katak ditimpa kemarau
 ستله باڽق كالي مليهت چندانا ممبتولكن لتق ڤاكاينڽ دي ناءيق ريماس 	 Setelah banyak kali melihat Cendana membetulkan letak pakaiannya dia naik rimas
 دكاوسن ايت باڽق ڤوكوق كلاڤ يڠ تومبوه برسليرق سڤنجڠ ڤسيسير ڤنتاي 	 Di kawasan itu banyak pokok kelapa yang tumbuh berselerak sepanjang pesisir pantai
 سكالي-سكالا داڤت ددڠري چندانا منيڠكه ممباچ برسام ايات يڠ دحافلڽ 	 Sekali-sekala dapat didengari Cendana meningkah membaca bersama ayat yang dihafalnya
 اكو بياسا مليهت دي منريما دان مڠهنتر ڬاڬق دان بربيچارا دڠن مريک 	 Aku biasa melihat dia menerima dan menghantar gagak dan berbicara dengan mereka
 كليهتن چندانا سوده براد دلوار رومه جنين دان برسندر دهادڤن انجوڠ 	 Kelihatan Cendana sudah berada di luar rumah Jenin dan bersandar di hadapan anjung
 والاو اكو بلوم ترلالو لاما برساممو اكو بلاجر باڽق درڤدمو نيرنام 	 Walau aku belum terlalu lama bersamamu aku belajar banyak daripadamu Nirnama
 اڤاكه ڤوترا سراڤي تيدق لاڬي مڠهادڤ مريک بردوا نديم مڠروتكن داهي 	 Apakah Putera Serapi tidak lagi menghadap mereka berdua Nadim mengerutkan dahi
 سلڤس اين سموا برأخير اڠكاو واجر مڠاجركن اكو سموا اين جنين تروجا 	 Selepas ini semua berakhir engkau wajar mengajarkan aku semua ini Jenin teruja
 ڤرسوءالنڽ اڤ يڠ ڤرلو كيت لاكوكن دڠن بريتا اين نيرنام ممندڠ جنين 	 Persoalannya apa yang perlu kita lakukan dengan berita ini Nirnama memandang Jenin
 نيرنام ڤولا تيدق ممبريكن اڤ٢ تيندق بالس سقدر ممرهاتي راكن-راكنڽ 	 Nirnama pula tidak memberikan apa-apa tindak balas sekadar memerhati rakan-rakannya
 اڤاكه اڠكاو برجاي منداڤتكنڽ للاكي روڤاون جهنم ايت دي مڠتڤ ڬراهم 	 Apakah engkau berjaya mendapatkannya Lelaki rupawan jahanam itu Dia mengetap geraham
 جک كيت بنر چينتا كيت اكن ماهو ممباوا اورڠ يڠ كيت چينتا ايت كشرݢ 	 Jika kita benar cinta kita akan mahu membawa orang yang kita cinta itu ke syurga
 جنين يڠ براد دسيسي نيرنام ممندڠ ڤمودا برڤاروت ايت ڤنوه تندا تاڽ 	 Jenin yang berada di sisi Nirnama memandang pemuda berparut itu penuh tanda tanya
 ڤاسڠن ڤنديكر دان سريكندي دڬلڠڬڠ تڠه ايت باڬايكن تله مڠهينا مريک 	 Pasangan pendekar dan srikandi di gelanggang tengah itu bagaikan telah menghina mereka
 تيدق ڤرنه مريک مليهت ڤرتاروڠن سدميكين روڤا ملاءينكن دميدن ڤڤرڠن 	 Tidak pernah mereka melihat pertarungan sedemikian rupa melainkan di medan pepeperangan
