Dia ternganga. 	 دي ترڠاڠا.
Kakanda hakikatnya berpakat dengan Puteri Gunung Ledang untuk mengkhianati Tuanku Sultan Mahmud dan Semutar Putih!   Jebat tersentak. 	 ككندا حقيقتڽ برڤاكت دڠن ڤوتري ڬونوڠ ليدڠ اونتوق مڠخيانتي توانكو سلطان محمود دان سموتر ڤوتيه!  جبت ترسنتق.
Sultan Mahmud terlopong. 	 سلطان محمود ترلوڤوڠ.
Mata Tuha terbeliak. 	 مات  توها تربلياق.
Jarang Nirnama meninggikan suara, apatah lagi menuduh seseorang dengan tuduhan sedemikian berat. 	 جارڠ نيرنام منيڠڬيكن سوارا، اڤاته لاڬي مينودوه سسأورڠ دڠن تودوهن سدميكين برات.
Terus Tuha berpaling kepada Sultan Mahmud. 	 تروس  توها برڤاليڠ كڤد سلطان محمود.
Tuanku, betapa durjananya tuduhan sedemikian. 	 توانكو، بتاڤ دورجانڽ تودوهن سدميكين.
Jelas mereka ini ada niat jahat ke atas tuanku dan patik. 	 جلس مريک اين اد نية جاهت كأتس توانكو دان ڤاتيق.
Sultan Mahmud masih termangu. 	 سلطان محمود ماسيه ترماڠو.
Nirnama, apakah benar tuduhan itu?  Benar. 	 نيرنام، اڤاكه بنر تودوهن ايت؟  بنر.
Tuha hakikatnya telah lama bersekongkol dengan Puteri Gunung Ledang. 	 توها حقيقتڽ تله لاما برسكوڠكول دڠن ڤوتري ڬونوڠ ليدڠ.
Jatuhnya Wilayah Ujong menyebabkan Jagat Suci mengarahkan Puteri Gunung Ledang menzahirkan dirinya di hadapan tuanku, menggerakkan perancangan jahat yang utama. 	 جاتوهڽ ولايه اوجوڠ مڽببكن جاڬت سوچي مڠارهكن ڤوتري ڬونوڠ ليدڠ منظاهيركن ديريڽ دهادڤن توانكو، مڠڬرقكن ڤرانچڠن جاهت يڠ اوتام.
Yakni menghuru-harakan Kerajaan Semutar Putih, dan kemudian menaikkan Kakanda Tuha sebagai pemerintah baru yang kelak lunak dengan makar. 	 يعني مڠهورو-هاراكن كراجاءن سموتر ڤوتيه، دان كمودين مناءيقكن ككندا توها سباڬاي ڤمرينته بارو يڠ كلق لونق دڠن ماكر.
Ini semua fitnah durjana!  Tuha terus menerpa Nirnama. 	 اين سموا فتنه دورجان!  توها تروس منرڤا نيرنام.
Pergerakannya amat pantas sehingga Nirnama sendiri tidak sempat bertindak. 	 ڤرڬرقنڽ امت ڤانتس سهيڠݢ نيرنام سنديري تيدق سمڤت برتيندق.
Lehernya dicengkam Tuha, kemudian tubuhnya terseret hingga ke luar istana. 	 ليهيرڽ دچڠكم توها، كمودين توبوهڽ ترسيريت هيڠݢ كلوار ايستان.
Jebat sendiri benar-benar terkejut. 	 جبت سنديري بنر٢ تركجوت.
Tuha! Nirnama! Dia memecut keluar. 	 توها! نيرنام! دي ممچوت كلوار.
Sultan Mahmud terperanjat dengan apa yang baru berlaku di hadapannya. 	 سلطان محمود ترڤرنجت دڠن اڤ يڠ بارو برلاكو دهادڤنڽ.
Wajahnya bertukar berang. 	 واجهڽ برتوكر بيرڠ.
Berani Nirnama memburuk-burukkan beta dan Tuha berkait urusan Puteri Gunung Ledang. 	 براني نيرنام ممبوروق-بوروقكن بيت دان توها بركاءيت اوروسن ڤوتري ڬونوڠ ليدڠ.
Apa yang busuknya hati mereka dengan pilihan hati beta?  Sultan Mahmud mengepal kedua-dua penumbuk. 	 اڤ يڠ بوسوقڽ هاتي مريک دڠن ڤيليهن هاتي بيت؟  سلطان محمود مڠڤل كدوا-دوا ڤنومبوق.
Geraham terketap geram. 	 ڬراهم تركتڤ ڬرم.
Bertenang, tuanku. 	 برتنڠ، توانكو.
Hulubalang-hulubalang yang semenjak tadi berkawal di sisi singgahsana Sultan Mahmud bersuara. 	 هولوبالڠ٢ يڠ سمنجق تادي بركاول دسيسي سيڠڬهسان سلطان محمود برسوارا.
Kalian diam! Suara Sultan Mahmud bergema. 	 كالين ديام! سوارا سلطان محمود برڬيم.
Beta tidak lagi boleh terima sikap sebegini. 	 بيت تيدق لاڬي بوليه تريما سيكڤ سبڬيني.
Sampaikan titah beta yang seterusnya ini kepada seluas mungkin. 	 سمڤايكن تيته بيت يڠ ستروسڽ اين كڤد سلواس موڠكين.
Kepada semua bala tentera kita, tidak kira di pusat pemerintahan atau di sempadan, bahawa Jebat dan Nirnama kini bergelar pender. 	 كڤد سموا بالا تنترا كيت، تيدق كيرا دڤوست ڤمرينتهن اتاو دسمڤادن، بهاوا جبت دان نيرنام كيني برڬلر ڤندر.
Mungkin adinda perlu benar-benar bertenang. 	 موڠكين اديندا ڤرلو بنر٢ برتنڠ.
Satu suara lain bergema. 	 ساتو سوارا لاءين برڬيم.
Kalam Sultan Mahmud terhenti. 	 كلام سلطان محمود ترهنتي.
Dia terkelu. 	 دي تركلو.
Pandangannya menerpa sesusuk tubuh yang berdiri di tengah-tengah balai menghadap. 	 ڤندڠنڽ منرڤا سسوسوق توبوه يڠ برديري دتڠه-تڠه بالاي مڠهادڤ.
Susuk tubuh yang menyebabkan seluruh uratnya terasa mati. 	 سوسوق توبوه يڠ مڽببكن سلوروه اورتڽ تراس ماتي.
Pasakan kakinya tidak mampu membendung rentapan jantung yang berdetik laju. 	 ڤاسكن كاكيڽ تيدق ممڤو ممبندوڠ رنتڤن جنتوڠ يڠ بردتيق لاجو.
Terus Sultan Mahmud terduduk di atas singgahsana. 	 تروس سلطان محمود تردودوق دأتس سيڠڬهسان.
Kakanda Alauddin?  Alauddin berdiri penuh tegap. 	 ككندا علاءالدين؟  علاءالدين برديري ڤنوه تڬڤ.
Kemudian, dari belakang Alauddin, muncul satu lagi susuk tubuh. 	 كمودين، دري بلاكڠ علاءالدين، مونچول ساتو لاڬي سوسوق توبوه.
Berambut panjang, sebahagian rambut terjuntai ke hadapan, dengan bahagian mata ditutup kain. 	 برمبوت ڤنجڠ، سبهاڬين رمبوت ترجونتاي كهادڤن، دڠن بهاڬين مات دتوتوڤ كاءين.
Dua lengan baju panjang berkibaran, menandakan insan itu kudung kedua-dua belah tangannya. 	 دوا لڠن باجو ڤنجڠ بركيبرن، مننداكن انسان ايت كودوڠ كدوا-دوا بله تاڠنڽ.
Engkau. 	 اڠكاو.
Ampun, tuanku. 	 امڤون، توانكو.
Patik Adiwaja. 	 ڤاتيق اديواج.
Adiwaja menunduk sedikit sebagai tanda hormat. 	 اديواج منوندوق سديكيت سباڬاي تندا حرمت.
Apa yang membuatkan kalian muncul di sini hari ini?  Masanya telah tiba, adinda. 	 اڤ يڠ ممبواتكن كالين مونچول دسيني هاري اين؟  ماسڽ تله تيبا، اديندا.
Alauddin mula melangkah ke hadapan. 	 علاءالدين مولا ملڠكه كهادڤن.
Sultan Mahmud bersandar pada singgahsana. 	 سلطان محمود برساندر ڤد سيڠڬهسان.
Untuk?  Aku kembali ke takhta itu. 	 اونتوق؟  اكو كمبالي كتختا ايت.
Mata Sultan Mahmud terbuntang. 	 مات سلطان محمود تربونتڠ.
Tubuh Nirnama menerima beberapa tumbukan, membuatkan dia menghamburkan darah. 	 توبوه نيرنام منريما ببراڤ تومبوقن، ممبواتكن دي مڠهمبوركن داره.
Dia kemudian terseret beberapa depa ke belakang, sebelum jatuh melutut. 	 دي كمودين ترسيريت ببراڤ دڤا كبلاكڠ، سبلوم جاتوه ملوتوت.
Sekali lagi dia memuntahkan darah. 	 سكالي لاڬي دي ممونتهكن داره.
Tuha langsung tidak memberikan peluang. 	 توها لڠسوڠ تيدق ممبريكن ڤلواڠ.
Jelas, Nirnama agak kelam-kabut berhadapan Tuha sehingga tidak dapat mempertahankan diri. 	 جلس، نيرنام اڬق كلم-كابوت برهادڤن توها سهيڠݢ تيدق داڤت ممڤرتاهنكن ديري.
Serangan awal Tuha yang mengejut, membuatkan diri Nirnama lebih terdedah. 	 سرڠن اول توها يڠ مڠجوت، ممبواتكن ديري نيرنام لبيه تردده.
Setelah dibawa ke luar istana, mereka berentap dan semenjak itu Tuha tidak berbelas kasihan terhadapnya. 	 ستله دباوا كلوار ايستان، مريک برنتڤ دان سمنجق ايت  توها تيدق بربلس كاسيهن ترهادڤڽ.
Serangan-serangan Tuha begitu ganas dan sarat dengan niat membunuh. 	 سرڠن٢ توها بڬيتو ڬانس دان سارت دڠن نية ممبونوه.
Aku sudah berikan amaran, Nirnama. 	 اكو سوده بريكن امرن، نيرنام.
Jangan engkau fikir aku akan biarkan engkau berbuat sesuka hati!  Tuha betul-betul berada di hadapan Nirnama. 	 جاڠن اڠكاو فيكير اكو اكن بياركن اڠكاو بربوات سسوک هاتي!  توها بتول٢ براد دهادڤن نيرنام.
Tangan kanannya sudah ditarik, siap untuk melancarkan tumbukan. 	 تاڠن كاننڽ سوده دتاريک، سياڤ اونتوق ملنچركن تومبوقن.
Nirnama mengangkat wajah. 	 نيرنام مڠڠكت واجه.
Mulutnya meluncurkan liur yang bergumpal darah. 	 مولوتڽ ملونچوركن ليور يڠ برڬومڤل داره.
Ludahan itu bergerak terlalu laju, sehingga pergerakan Tuha menjadi kucar-kacir. 	 لودهن ايت برڬرق ترلالو لاجو، سهيڠݢ ڤرڬرقن توها منجادي كوچر-كاچير.
Pada saat akhir, Tuha memutarkan tubuh mengelak ludahan tersebut mengenainya. 	 ڤد ساعت اخير، توها مموتركن توبوه مڠيلق لودهن ترسبوت مڠناءيڽ.
Bukan kerana geleman tetapi Tuha tahu bahawa ludahan itu bergerak dengan kelajuan yang teramat tinggi, dan bakal menembusi tubuhnya jika dibiarkan. 	 بوكن كران ڬلمن تتاڤي توها تاهو بهاوا لودهن ايت برڬرق دڠن كلاجوان يڠ ترامت تيڠڬي، دان باكل منمبوسي توبوهڽ جک دبياركن.
Tindakan Tuha itu membuatkan tubuhnya terdedah. 	 تيندقن توها ايت ممبواتكن توبوهڽ تردده.
Nirnama bangkit dan terus melepaskan dua telapak tangan ke bahagian bahu kakandanya itu. 	 نيرنام بڠكيت دان تروس ملڤسكن دوا تلڤق تاڠن كبهاڬين باهو ككنداڽ ايت.
Bagaikan berlaku sebuah letupan, Tuha kembali terpelanting ke arah dia datang. 	 باڬايكن برلاكو سبواه لتوڤن، توها كمبالي ترڤلنتيڠ كأره دي داتڠ.
Mujur Tuha berjaya menyeimbangkan diri, kembali menjejak bumi di atas dua kaki. 	 موجور توها برجاي مڽإيمبڠكن ديري، كمبالي منججق بومي دأتس دوا كاكي.
Namun, dia tetap terseret sekitar dua depa, tanda serangan Nirnama tadi penuh kekuatan. 	 نامون، دي تتڤ ترسيريت سكيتر دوا دڤا، تندا سرڠن نيرنام تادي ڤنوه كقواتن.
Tuha, Nirnama! Jebat tiba. 	 توها، نيرنام! جبت تيبا.
Dia terus mempersiapkan diri untuk menyertai pertarungan. 	 دي تروس ممڤرسياڤكن ديري اونتوق مڽرتاءي ڤرتاروڠن.
Menyedari kehadiran Jebat, Tuha lebih bersiaga. 	 مڽدري كحاضيرن جبت،  توها لبيه برسياݢ.
Ayuh!  Taming Sari pada pinggang dicabutnya. 	 ايوه!  تاميڠ ساري ڤد ڤيڠڬڠ دچابوتڽ.
Keris yang dikatakan punya kelebihan-kelebihan tersendiri. 	 كريس يڠ دكاتاكن ڤوڽا كلبيهن٢ ترسنديري.
Diperolehi Tuha semasa mewakili Semutar Putih dalam usaha membina hubungan dengan Kerajaan Majapahit. 	 دڤراوليهي توها سماس مواكيلي سموتر ڤوتيه دالم اوسها ممبينا هوبوڠن دڠن كراجاءن مجاڤاهيت.
Khabarnya, antara kelebihan keris itu adalah membuatkan pemakainya menjadi kebal. 	 خبرڽ، انتارا كلبيهن كريس ايت اداله ممبواتكن ڤماكايڽ منجادي كبل.
Kakanda Jebat, pergilah ke sempadan. 	 ككندا جبت، ڤرڬيله كسمڤادن.
Mereka memerlukanmu lebih berbanding aku. 	 مريک ممرلوكنمو لبيه بربنديڠ اكو.
Nirnama bersuara, mematikan langkahan Jebat. 	 نيرنام برسوارا، مماتيكن لڠكهن جبت.
Tetapi engkau. 	 تتاڤي اڠكاو.
Nirnama menggeleng. 	 نيرنام مڠڬيليڠ.
Dia tahu Jebat risau akan keadaannya. 	 دي تاهو جبت ريساو اكن كأداءنڽ.
Sudah jauh berkelana, pulang pula dengan kecederaan, kemudian berhadapan dengan Tuha. 	 سوده جاءوه بركلنا، ڤولڠ ڤولا دڠن كچدراءن، كمودين برهادڤن دڠن توها.
Bukanlah sesuatu yang mudah. 	 بوكنله سسواتو يڠ موده.
Tambah pula, dia baru sahaja menerima tumbukan bertubi-tubi daripada Tuha. 	 تمبه ڤولا، دي بارو سهاج منريما تومبوقن برتوبي-توبي درڤد  توها.
Jelas, dia bukan berada dalam keadaan yang terbaik. 	 جلس، دي بوكن براد دالم كأداءن يڠ ترباءيق.
Jangan risaukan aku, Kakanda Jebat. 	 جاڠن ريساوكن اكو، ككندا جبت.
Nirnama bertegas. 	 نيرنام برتڬس.
Jebat serba salah. 	 جبت سربا ساله.
Dalam perjalanan mengejar Tuha dan Nirnama tadi, dia sempat bersua dengan Adiwaja dan Alauddin. 	 دالم ڤرجالنن مڠجر توها دان نيرنام تادي، دي سمڤت برسوا دڠن اديواج دان علاءالدين.
Namun, dia tidak sempat berbicara apa-apa dengan mereka berdua. 	 نامون، دي تيدق سمڤت بربيچارا اڤ٢ دڠن مريک بردوا.
Tambah pula, Adiwaja mengarahkannya agar bersegera ke tempat Tuha dan Nirnama berseteru. 	 تمبه ڤولا، اديواج مڠارهكنڽ اڬر برسڬرا كتمڤت توها دان نيرنام برسترو.
Apakah sekiranya Nirnama berada dalam keadaan genting, mereka berdua akan menyelamatkan lelaki berparut itu?  Namun, saranan Nirnama ada benarnya. 	 اڤاكه سكيراڽ نيرنام براد دالم كأداءن ڬنتيڠ، مريک بردوا اكن مڽلامتكن للاكي برڤاروت ايت؟  نامون، سارنان نيرنام اد بنرڽ.
Keadaan di sempadan hakikatnya genting. 	 كأداءن دسمڤادن حقيقتڽ ڬنتيڠ.
Peperangan boleh meletus bila-bila masa sahaja. 	 ڤڤرڠن بوليه ملتوس بيلا٢ ماس سهاج.
Jebat mendengus. 	 جبت مندڠوس.
Jangan engkau tewas, Nirnama!  Nirnama mengangguk. 	 جاڠن اڠكاو تيواس، نيرنام!  نيرنام مڠڠڬوق.
Dia menghantar Jebat pergi dengan pandangan. 	 دي مڠهنتر جبت ڤرڬي دڠن ڤندڠن.
Tanpa disangka-sangka, Tuha ketawa berdekah-dekah. 	 تنڤا دسڠکا-سڠکا، توها كتاوا بردكه-دكه.
Jangan engkau tewas, Nirnama. 	 جاڠن اڠكاو تيواس، نيرنام.
Dia mengajuk, kemudian kembali ketawa. 	 دي مڠاجوق، كمودين كمبالي كتاوا.
Nirnama hanya memerhati. 	 نيرنام هاڽ ممرهاتي.
Tawa Tuha surut. 	 تاوا توها سوروت.
Wajahnya bertukar menjadi dingin. 	 واجهڽ برتوكر منجادي ديڠين.
Matanya menjegil. 	 ماتڽ منجڬيل.
Sudah pastilah engkau akan tertewas. 	 سوده ڤستيله اڠكاو اكن ترتيواس.
Aku ialah Tuha, Laksamana Utama Semutar Putih. 	 اكو اياله توها، لقسامان اوتام سموتر ڤوتيه.
Dia menengking sambil menepuk dada. 	 دي منڠكيڠ سمبيل منڤوق دادا.
Masakan adik bongsu seperti engkau mampu menandingi aku. 	 ماساكن اديق بوڠسو سڤرتي اڠكاو ممڤو مننديڠي اكو.
Rakyat jelata telah berlebih-lebihan berbicara tentangmu, adinda!   Tuha mengacukan Taming Sari ke arah Nirnama. 	 رعيت جلاتا تله برلبيه-لبيهن بربيچارا تنتڠمو، اديندا!  توها مڠاچوكن تاميڠ ساري كأره نيرنام.
Rakyat jelata memang gemar berlebih-lebihan berbicara akan sesuatu. 	 رعيت جلاتا ميمڠ ڬمر برلبيه-لبيهن بربيچارا اكن سسواتو.
Semenjak Jagat Suci meracun fikiran mereka dengan menyatakan manusia mampu mempunyai kesaktian. 	 سمنجق جاڬت سوچي مراچون فيكيرن مريک دڠن مڽاتاكن ماءنسي ممڤو ممڤوڽاءي كسقتين.
Menjadikan mereka mudah membesar-besarkan sesuatu yang sebenarnya kecil. 	 منجاديكن مريک موده ممبسر-بسركن سسواتو يڠ سبنرڽ كچيل.
Sebagai contoh, kekuatanmu, kakanda. 	 سباڬاي چونتوه، كقواتنمو، ككندا.
Nirnama mencapai keris pada pinggang. 	 نيرنام منچاڤاي كريس ڤد ڤيڠڬڠ.
Tuha terpempan. 	 توها ترڤمڤن.
Berkerut dahinya. 	 بركروت داهيڽ.
Apakah engkau yakin mampu menewaskan aku? Lebih-lebih lagi dengan keadaanmu yang sebegitu?  Aku hanya yakin kepada Allah subhanahu wa taala. 	 اڤاكه اڠكاو يقين ممڤو منوسكن اكو؟ لبيه٢ لاڬي دڠن كأداءنمو يڠ سبڬيتو؟  اكو هاڽ يقين كڤد الله سبحانه وتعالى.
Seiring aku berusaha apa yang termampu. 	 سإيريڠ اكو براوسها اڤ يڠ ترممڤو.
Keris warisan Sultan Mansur itu diangkat ke hadapan wajah. 	 كريس واريثن سلطان منصور ايت دأڠكت كهادڤن واجه.
Bilah senjata itu dikucupnya. 	 بيله سنجات ايت دكوچوڤڽ.
Kita semua telah dibasuh oleh ajaran Adiwaja semenjak kita muda, dan tidak pernah diberi peluang mempersoalkan ajaran itu. 	 كيت سموا تله دباسوه اوليه اجرن اديواج سمنجق كيت مودا، دان تيدق ڤرنه دبري ڤلواڠ ممڤرسوءالكن اجرن ايت.
Engkau tidak pernah melangkaui kemampuan diri sebagai manusia, merentas alam selain alam kita. 	 اڠكاو تيدق ڤرنه ملڠكاوءي كممڤوان ديري سباڬاي ماءنسي، مرنتس عالم سلاءين عالم كيت.
Jagat Suci hakikatnya memegang kebenaran. 	 جاڬت سوچي حقيقتڽ ممڬڠ كبنرن.
Aku telah saksikan sendiri, melalui Puteri Gunung Ledang. 	 اكو تله سقسيكن سنديري، ملالوءي ڤوتري ڬونوڠ ليدڠ.
Dunia ini lebih luas daripada ajaran Islam. 	 دنيا اين لبيه لواس درڤد اجرن إسلام.
Allah itu hakikatnya tidak ada. 	 الله ايت حقيقتڽ تيدق اد.
Hanya bayangan yang diwariskan demi menakut-nakutkan kita! Tuha memandang Nirnama tajam. 	 هاڽ بايڠن يڠ دواريثكن دمي مناكوت-ناكوتكن كيت! توها ممندڠ نيرنام تاجم.
Maka benarlah engkau telah tersesat jauh, kakanda. 	 مک بنرله اڠكاو تله ترسست جاءوه، ككندا.
Aku bahkan menjadi semakin celik. 	 اكو بهكن منجادي سماكين چليق.
Kalianlah yang masih tersesat akibat dibutakan oleh agama! Tuha meludah ke tanah. 	 كالينله يڠ ماسيه ترسست عاقبة دبوتاكن اوليه اڬام! توها ملوده كتانه.
Saksikan ini. 	 سقسيكن اين.
Jika Allah itu ada, apakah aku akan mampu berbuat sebegini!  Tuha menghirup udara sedalam mungkin, sebelum bibirnya terkumat-kamit. 	 جک الله ايت اد، اڤاكه اكو اكن ممڤو بربوات سبڬيني!  توها مڠهيروڤ اودارا سدالم موڠكين، سبلوم بيبيرڽ تركومت-كاميت.
Kemudian, dia menghembus nafas panjang ke bilah Taming Sari. 	 كمودين، دي مڠهمبوس نفس ڤنجڠ كبيله تاميڠ ساري.
Bilah keris itu mengeluarkan api. 	 بيله كريس ايت مڠلواركن اڤي.
Tuha mengalun-alunkan Taming Sari sambil ketawa. 	 توها مڠالون-ألونكن تاميڠ ساري سمبيل كتاوا.
Bagaimana?  Nirnama menggeleng. 	 باڬايمان؟  نيرنام مڠڬيليڠ.
Itu semua hanyalah sihir. 	 ايت سموا هاڽله سيحير.
Engkau bukan melangkaui kemampuan diri. 	 اڠكاو بوكن ملڠكاوءي كممڤوان ديري.
Engkau meminjam kekuatan makhluk lain! Dia juga mula mengalun-alunkan kerisnya. 	 اڠكاو ممينجم كقواتن مخلوق لاءين! دي جوݢمولا مڠالون-ألونكن كريسڽ.
Apakah yang aku lakukan itu salah? Islam sendiri mempamerkan Sulaiman yang menundukkan jin. 	 اڤاكه يڠ اكو لاكوكن ايت ساله؟ إسلام سنديري ممڤاميركن سليمان يڠ منوندوقكن جين.
Aku setara dengannya!  Jin Nabi Sulaiman adalah makhluk suruhan baginda. 	 اكو ستارا دڠنڽ!  جين نبي سليمان اداله مخلوق سوروهن بڬيندا.
Tiada siapa lagi mendapat keistimewaan sedemikian rupa. 	 تياد سياڤا لاڬي منداڤت كإيستيميواءن سدميكين روڤا.
Engkau ditipu oleh jin-jin kafir dan sekutu mereka seperti Jagat Suci dan Puteri Gunung Ledang. 	 اڠكاو دتيڤو اوليه جين٢ كافير دان سكوتو مريک سڤرتي جاڬت سوچي دان ڤوتري ڬونوڠ ليدڠ.
Ah, engkau yang tidak mahu menerima kenyataan!  Engkau hakikatnya dikaburi kebatilan!  Ayuh, tumbangkanlah kebatilan ini!  Tuha mula membuka langkah. 	 اه، اڠكاو يڠ تيدق ماهو منريما كڽاتاءن!  اڠكاو حقيقتڽ دكابوري كباطيلن!  ايوه، تومبڠكنله كباطلن اين!  توها مولا ممبوک لڠكه.
Pergerakannya terlalu pantas sehingga mata Nirnama sendiri tidak dapat mengekori. 	 ڤرڬرقنڽ ترلالو ڤانتس سهيڠݢ مات نيرنام سنديري تيدق داڤت مڠيكوري.
Tiba-tiba, Tuha muncul di belakang Nirnama. 	 تيبا٢، توها مونچول دبلاكڠ نيرنام.
Taming Sari dirodoknya sepantas kilat. 	 تاميڠ ساري درودوقڽ سڤانتس كيلت.
Terbenam di bawah rusuk Nirnama. 	 تربنم دباوه روسوق نيرنام.
Serangan itu hakikatnya mahu disasarkan ke jantung, tetapi Nirnama sempat mengelak, walau tubuhnya masih menjadi mangsa. 	 سرڠن ايت حقيقتڽ ماهو دساسركن كجنتوڠ، تتاڤي نيرنام سمڤت مڠيلق، والاو توبوهڽ ماسيه منجادي مڠسا.
Engkau pantas, tetapi tidak cukup pantas. 	 اڠكاو ڤانتس، تتاڤي تيدق چوكوڤ ڤانتس.
Tuha tertawa. 	 توها ترتاوا.
Sekarang, engkau mampus!  Api yang membaluti Taming Sari semakin marak, bersembur-sembur membakar bawah rusuk Nirnama. 	 سكارڠ، اڠكاو ممڤوس!  اڤي يڠ ممبالوتي تاميڠ ساري سماكين مارق، برسمبور-سمبور ممباكر باوه روسوق نيرنام.
Nirnama menjerit seraya melepaskan satu tendangan, tepat ke tubuh Tuha. 	 نيرنام منجريت سرايا ملڤسكن ساتو تندڠن، تڤت ك توبوه توها.
Laksamana Utama Semutar Putih itu terpelanting ke belakang sambil menghamburkan darah. 	 لقسامان اوتام سموتر ڤوتيه ايت ترڤلنتيڠ كبلاكڠ سمبيل مڠهمبوركن داره.
Nyata, Nirnama tidak menyimpan tenaganya untuk serangan itu. 	 ڽات، نيرنام تيدق مڽيمڤن تناݢڽ اونتوق سرڠن ايت.
Kali ini, Tuha tidak dapat menyeimbangkan tubuh, jatuh terseret dan berguling beberapa kali di atas tanah. 	 كالي اين،  توها تيدق داڤت مڽإيمبڠكن توبوه، جاتوه ترسيريت دان برڬوليڠ ببراڤ كالي دأتس تانه.
Lutut Nirnama bertemu lantai bumi. 	 لوتوت نيرنام برتمو لنتاي بومي.
Tubuhnya berkeringat lebat. 	 توبوهڽ بركريڠت لبت.
Serangan Tuha benar-benar berbisa. 	 سرڠن توها بنر٢ بربيسا.
Separuh seluarnya sudah berwarna merah. 	 سڤاروه سلوارڽ سوده برورنا ميره.
Bawah rusuknya hitam terbakar. 	 باوه روسوقڽ هيتم ترباكر.
Kesakitan tidak terperi menjalar ke seluruh tubuh. 	 كساكيتن تيدق ترڤري منجالار كسلوروه توبوه.
Dia hampir sahaja pitam. 	 دي همڤير سهاج ڤيتم.
Cepat-cepat dia mengatur pernafasan. 	 چڤت٢ دي مڠاتور ڤرنفسن.
Kesakitannya mengendur. 	 كساكيتنڽ مڠندور.
Perlahan-lahan dia kembali bangkit. 	 ڤرلاهن-لاهن دي كمبالي بڠكيت.
Tawa Tuha kedengaran lagi. 	 تاوا توها كدڠرن لاڬي.
Nirnama berpaling. 	 نيرنام برڤاليڠ.
Laksamana Utama Semutar Putih itu telah bangkit. 	 لقسامان اوتام سموتر ڤوتيه ايت تله بڠكيت.
Tetapi tepi dagu Tuha jelas dengan kesan darah yang baru dikesat. 	 تتاڤي تڤي داڬو توها جلس دڠن كسن داره يڠ بارو دكست.
Bagaimana? Engkau tidak menyangka, bukan?  Sebagaimana kakanda tidak menyangka akan kekuatanku?  Tuha terdiam. 	 باڬايمان؟ اڠكاو تيدق مڽڠک، بوكن؟  سباڬايمان ككندا تيدق مڽڠک اكن كقواتنكو؟  توها ترديام.
Jelas, dia mengalami kecederaan akibat menerima serangan Nirnama sebentar tadi. 	 جلس، دي مڠالمي كچدراءن عاقبة منريما سرڠن نيرنام سبنتر تادي.
Tubuh Tuha masih menggeletar. 	 توبوه توها ماسيه مڠڬلتر.
Nyata, sekiranya dia mendedahkan dirinya kepada serangan Nirnama secara langsung, dia hanya akan menempah maut. 	 ڽات، سكيراڽ دي منددهكن ديريڽ كڤد سرڠن نيرنام سچارا لڠسوڠ، دي هاڽ اكن منمڤه موت.
Berbeza dengan Nirnama yang telah dihujani tumbukannya tadi. 	 بربيذا دڠن نيرنام يڠ تله دهوجني تومبوقنڽ تادي.
Walaupun adindanya itu cedera, tetapi jelas, beberapa tumbukannya andai mahu dibanding dengan satu tendangan Nirnama, tendangan Nirnama itu lebih jauh berbisa. 	 والاوڤون ادينداڽ ايت چدرا، تتاڤي جلس، ببراڤ تومبوقنڽ انداي ماهو دبنديڠ دڠن ساتو تندڠن نيرنام، تندڠن نيرنام ايت لبيه جاءوه بربيسا.
Geraham diketapnya. 	 ڬراهم دكتڤڽ.
Apa gunanya serangan yang tidak mendarat, adinda?  Tuha kembali bersiaga. 	 اڤ ڬوناڽ سرڠن يڠ تيدق مندارت، اديندا؟  توها كمبالي برسياݢ.
Keris diacukan ke arah Nirnama. 	 كريس داچوكن كأره نيرنام.
Dia nyata tidak akan membiarkan hal itu berulang lagi. 	 دي ڽات تيدق اكن ممبياركن حال ايت براولڠ لاڬي.
Sedia untuk menggunakan apa sahaja yang ada pada dirinya untuk menumbangkan Nirnama sepantas mungkin. 	 سديا اونتوق مڠڬوناكن اڤ سهاج يڠ اد ڤد ديريڽ اونتوق منومبڠكن نيرنام سڤنتس موڠكين.
Nirnama membuka kekuda. 	 نيرنام ممبوک ككودا.
Bibirnya terkumat-kamit dengan zikir dan doa. 	 بيبيرڽ تركومت-كاميت دڠن ذيكير دان دعا.
Hah, jin-jin yang bersama denganku takkan terkesan dengan itu semua, Nirnama!  Sekali lagi Tuha berdesup. 	 هاه، جين٢ يڠ برسام دڠنكو تقكن تركسن دڠن ايت سموا، نيرنام!  سكالي لاڬي  توها بردسوڤ.
Hilang daripada pandangan Nirnama. 	 هيلڠ درڤد ڤندڠن نيرنام.
Pantas Nirnama memejamkan mata. 	 ڤانتس نيرنام ممجمکن مات.
Bibir masih terkumat-kamit. 	 بيبير ماسيه تركومت-كاميت.
Dalam kegelapan itu, segala bunyi hilang daripada pendengaran. 	 دالم كڬلاڤن ايت، سڬالا بوڽي هيلڠ درڤد ڤندڠرن.
Bahkan, apa yang diungkapkan oleh diri sendiri tidak didengari. 	 بهكن، اڤ يڠ داوڠكڤكن اوليه ديري سنديري تيدق ددڠري.
Nirnama dapat merasakan perubahan pada pergerakan angin, dan bunyi berdecit yang sangat kecil. 	 نيرنام داڤت مراساكن ڤراوبهن ڤد ڤرڬرقن اڠين، دان بوڽي بردچيت يڠ ساڠت كچيل.
Terus dia menyendeng. 	 تروس دي مڽينديڠ.
