A. 	 ا.
Mungkin jasa terakhirmu ialah memberi makan haiwan di belantara ini! Jagat Suci bangkit. 	 موڠكين جاس تراخيرمو اياله ممبري ماكن حيوان دبلنتارا اين! جاڬت سوچي بڠكيت.
Engkau ada jin yang menjaga kemudaanmu, engkau ada jin yang memberikan engkau kekebalan. 	 اڠكاو اد جين يڠ منجاݢ كموداءنمو، اڠكاو اد جين يڠ ممبريكن اڠكاو ككبالن.
Cendana cepat-cepat bangkit dan berdiri menghadap Nujum Surya dalam keadaan penuh siaga. 	 چندانا چڤت٢ بڠكيت دان برديري مڠهادڤ نجوم سوريا دالم كأداءن ڤنوه سياݢ.
Supaya kerajaan ini tidak lemah, pada masa yang sama masih dapat membantu Semutar Putih. 	 سوڤاي كراجاءن اين تيدق لمه، ڤد ماس يڠ سام ماسيه داڤت ممبنتو سموتر ڤوتيه.
Anehnya, dia tidak menanti Nirnama tiba tetapi seolah-olah mahu meninggalkan tempat itu. 	 انيهڽ، دي تيدق مننتي نيرنام تيبا تتاڤي سأوله-اوله ماهو منيڠڬلكن تمڤت ايت.
Tetapi tetap muncung Taming Sari menggores bahagian dada pemerintah Indera Kayangan itu. 	 تتاڤي تتڤ مونچوڠ تاميڠ ساري مڠڬوريس بهاڬين دادا ڤمرينته ايندرا كايڠن ايت.
Sebelum berpisah, Cendana dan Nirnama telah berbual sambil diperhatikan Nadim dari jauh. 	 سبلوم برڤيسه، چندانا دان نيرنام تله بربوال سمبيل دڤرهاتيكن نديم دري جاءوه.
Setelah beberapa ketika, barulah Cendana menunggang kuda dan meninggalkan mereka berdua. 	 ستله ببراڤ كتيک، باروله چندانا منوڠڬڠ كودا دان منيڠڬلكن مريک بردوا.
Kerana Kerajaan Serawa telah menghantar tentera bantuan yang besar kepada Semutar Putih. 	 كران كراجاءن سراوا تله مڠهنتر تنترا بنتوان يڠ بسر كڤد سموتر ڤوتيه.
Setiap awal purnama guru akan turun dari pergunungan dan pergi ke perkampungan terdekat. 	 ستياڤ اول ڤورنام ڬورو اكن تورون دري ڤرڬونوڠن دان ڤرڬي كڤركامڤوڠن تردكت.
Pak Kaduk jugalah yang bermurah hati menanggung makan minum mereka sepanjang perjalanan. 	 ڤق كادوق جوݢله يڠ برموره هاتي منڠڬوڠ ماكن مينوم مريک سڤنجڠ ڤرجالنن.
Seorang perempuan berpakaian serba gelap sedang menahan ankus itu dengan sebilah parang. 	 سأورڠ ڤرمڤوان برڤاكاين  سربا ڬلڤ سدڠ مناهن انكوس ايت دڠن سبيله ڤارڠ.
Perlahan-lahan Raja Ong Maha Perita Deria menghampiri Nirnama, selangkah demi selangkah. 	 ڤرلاهن-لاهن راج اوڠ مها ڤريتا دريا مڠهمڤيري نيرنام، سلاڠكه دمي سلاڠكه.
Pun begitu, beberapa tentera Segenting Kra dan pahlawan Sekebun Serendah menjadi mangsa. 	 ڤون بڬيتو، ببراڤ تنترا سڬنتيڠ كرا دان ڤهلاون سكبون سرنده منجادي مڠسا.
Nirnama hanya mampu melihat semua itu sedang dirinya sendiri terkapai-kapai dicekik jin. 	 نيرنام هاڽ ممڤو مليهت سموا ايت سدڠ ديريڽ سنديري تركاڤاي-كاڤاي دچكيق جين.
Jelas, dia tidak lagi bermaya, tetapi tetap juga menggagahkan diri untuk tidak mengalah. 	 جلس، دي تيدق لاڬي برماي، تتاڤي تتڤ جوݢ مڠڬاڬهكن ديري اونتوق تيدق مڠاله.
al-Quran berulang kali mengulang kisah orang-orang angkuh sepertimu!  Jagat Suci ketawa. 	 القرءان براولڠ كالي مڠولڠ قيصه اورڠ٢ اڠكوه سڤرتيمو!  جاڬت سوچي كتاوا.
Walau tanpa kekebalan, kekuatanku hakikatnya tidak tertanding!  Jagat Suci terus ketawa. 	 والاو تنڤا ككبالن، كقواتنكو حقيقتڽ تيدق ترتنديڠ لاڬي!  جاڬت سوچي تروس كتاوا.
Hampir sahaja mereka tidak dapat dilihat kerana diselimuti zulmat malam yang kian pekat. 	 همڤير سهاج مريک تيدق داڤت دليهت كران دسليموتي ظلمة مالم يڠ كين ڤكت.
Tetapi sekurang-kurangnya, engkau tidak boleh bermaharaja lela selagi aku masih di sini. 	 تتاڤي سكوراڠ-كورڠڽ، اڠكاو تيدق بوليه برمهاراج للا سلاڬي اكو ماسيه دسيني.
Sialan!  Jagat Suci mencabut anak panah itu dan mahu melepaskan serangan kepada Kasturi. 	 سيالن!  جاڬت سوچي منچابوت انق ڤانه ايت دان ماهو ملڤسكن سرڠن كڤد كستوري.
Di situ, hubungan antara Orang Kaya Besar itu, Nirnama dan Alauddin, menjadi lebih erat. 	 د سيتو، هوبوڠن انتارا اورڠ كاي بسر ايت، نيرنام دان علاءالدين، منجادي لبيه ارت.
Mata lelaki itu terjegil memandang orang kampung yang terkulat-kulat dengan kehadirannya. 	 مات للاكي ايت ترجڬيل ممندڠ اورڠ كامڤوڠ يڠ تركولت-كولت دڠن كحاضيرنڽ.
Belantan berduri itu tidak menjejak tanah, bagaikan tersekat di tengah-tengah pergerakan. 	 بلنتن بردوري ايت تيدق منججق تانه، باڬايكن ترسكت دتڠه-تڠه ڤرڬرقن.
Siapakah pendekar muda itu, Nadim?  Beberapa orang kampung mula menggerumuni Sang Kancil. 	 سياڤاكه ڤنديكر مودا ايت، نديم؟  ببراڤ اورڠ كامڤوڠ مولا مڠروموني سڠ كنچيل.
Perkhabaran terbaharu yang sampai adalah tumbangnya Bagak Durjana di Perkampungan Medini. 	 ڤرخبرن تربهارو يڠ سمڤاي اداله تومبڠڽ باڬق دورجان دڤركامڤوڠن مديني.
Mata kanan terpaksa ditutup kerana dia dapat merasakan yang wajahnya mendapat luka besar. 	 مات كانن ترڤقسا دتوتوڤ كران دي داڤت مراساكن يڠ واجهڽ منداڤت لوك بسر.
Aku perlu dianggap sebagai yang terhebat kerana aku berjuang mengangkat darjat perempuan. 	 اكو ڤرلو دأڠڬڤ سباڬاي يڠ ترهيبت كران اكو برجواڠ مڠڠكت درجت ڤرمڤوان.
Hanya desahan nafas dan degupan jantung yang kencang kedengaran di telinga masing-masing. 	 هاڽ دساهن نفس دان دڬوڤن جنتوڠ يڠ كنچڠ كدڠرن دتليڠا ماسيڠ٢.
Mengapa?  Aku dapat merasakan yang kelana Nirnama bukanlah suatu perjalanan tanpa tujuan. 	 مڠاڤ؟  اكو داڤت مراساكن يڠ كلان نيرنام بوكنله سواتو ڤرجالنن تنڤا توجوان.
Makanan sedemikian merupakan kegemaranmu, Orang Besar Kaya Tanggang? Aku tidak menyangka. 	 ماكنن سدميكين مروڤاكن كڬمارانمو، اورڠ بسر كاي تڠڬڠ؟ اكو تيدق مڽڠک.
Bagaimana engkau boleh sampai ke tahap sebegini, Nirnama?  Nirnama tidak pantas menjawab. 	 باڬايمان اڠكاو بوليه سماي كتاهڤ سبڬيني، نيرنام؟  نيرنام تيدق ڤانتس منجواب.
Ketiga-tiga mereka menghentikan perbualan dan memandang ke arah datangnya suara tersebut. 	 كتيݢا-تيݢ مريک مڠهنتيكن ڤربوالن دان ممندڠ كأره داتڠڽ سوارا ترسبوت.
Nadim yang tidak tahu serba serbi berkenaan ibadah itu, sekadar mengikuti Nirnama sahaja. 	 نديم يڠ تيدق تاهو سربا سربي بركناءن عباده ايت، سقدر مڠيكوتي نيرنام سهاج.
Bahkan, tidak sedikit yang menganggap mereka adalah bayangan Tuhan di atas muka bumi ini. 	 بهكن، تيدق سديكيت يڠ مڠڠڬڤ مريک اداله بايڠن توهن دأتس موک بومي اين.
Pengawal-pengawal Putera Serapi berjumlah dua puluh orang semuanya, mara menjadi benteng. 	 ڤڠاول٢ ڤوترا سراڤي برجومله دوا ڤولوه اورڠ سمواڽ، مارا منجادي بينتيڠ.
Nirnama yang sering menjadi buah mulut masyarakat itu memang antara cirinya dia berparut. 	 نيرنام يڠ سريڠ منجادي بواه مولوت مشاركت ايت ميمڠ انتارا چيريڽ دي برڤاروت.
Tambahan, berjuang dengan tujuan dendam hanya akan menyesatkan engkau daripada kebenaran. 	 تمبهن، برجواڠ دڠن توجوان دندم هاڽ اكن مڽستكن اڠكاو درڤد كبنرن.
Di belakang tubuhnya pula terdapat kain panjang yang dipegang oleh beberapa orang dayang. 	 دبلاكڠ توبوهڽ ڤولا ترداڤت كاءين ڤنجڠ يڠ دڤڬڠ اوليه ببراڤ اورڠ دايڠ.
Dia mungkin dihantar Puteri Sejinjang!  Lapangan itu kembali bergegar dengan suara ramai. 	 دي موڠكين دهنتر ڤوتري سجينجڠ!  لاڤڠن ايت كمبالي برڬڬر دڠن سوارا راماي.
Tetapi bertarung dengan 99 pendekar serentak? Mereka ini bukan orang bawahan nan picisan. 	 تتاڤي برتاروڠ دڠن 99 ڤنديكر سرنتق؟ مريک اين بوكن اورڠ باوهن نن ڤيچيسن.
Tidak pernah mereka melihat pertarungan sedemikian rupa, melainkan di medan pepeperangan. 	 تيدق ڤرنه مريک مليهت ڤرتاروڠن سدميكين روڤا، ملاءينكن دميدن ڤڤرڠن.
Dalam bilangan itu, ayahanda dan bondaku, rakan-rakan sepermainanku! Dia berteriak marah. 	 دالم بيلڠن ايت، ايهندا دان بونداكو، راكن٢ سڤرماءيننكو! دي برترياق ماره.
Ayat itu diulangnya berkali-kali sambil Nirnama terus menapak di tengah-tengah kegelapan. 	 ايات ايت دأولڠڽ بركالي-كالي سمبيل نيرنام تروس مناڤق دتڠه-تڠه كڬلاڤن.
Pemerintah Indera Kayangan yang ketujuh telah dibunuhnya dan Jagat Suci kembali berkuasa. 	 ڤمرينته ايندرا كايڠن يڠ كتوجوه تله دبونوهڽ دان جاڬت سوچي كمبالي بركواس.
Raja Api mengeluarkan bunyi yang teramat nyaring, membingitkan semua yang berada di situ. 	 راج اڤي مڠلواركن بوڽي يڠ ترامت ڽاريڠ، ممبيڠيتكن سموا يڠ براد دسيتو.
Cik Cendana, ke manakah hala tuju Cik Cendana selepas ini?   Ke mana sahaja engkau pergi. 	 چيق چندانا، كمانكه هالا توجو چيق چندانا سلڤس اين؟  كمان سهاج اڠكاو ڤرڬي.
Patik junjung di atas jemala patik! Dengan demikian, aku boleh pergi dengan lebih tenang. 	 ڤاتيق جونجوڠ دأتس جمالا ڤاتيق!  دڠن دمكين، اكو بوليه ڤرڬي دڠن لبيه تنڠ.
Kedua-dua belah tangannya bersilang sementara dia berdiri di anjung Istana Semutar Putih. 	 كدوا-دوا بله تاڠنڽ برسيلڠ سمنتارا دي برديري دانجوڠ ايستان سموتر ڤوتيه.
Lewat jugalah urusan ini selesai, dan lewat jugalah kelak keputusan sampai kepada tuanku. 	 ليوات جوݢله اوروسن اين سلساي، دان ليوات جوݢله كلق كڤوتوسن سمڤاي كڤد توانكو.
Setelah beberapa tahun diangkat menjadi Laksamana Utama, Tuha begitu rapat dengan tuanku. 	 ستله ببراڤ تاهون دأڠكت منجادي لقسامان اوتام، توها بڬيتو راڤت دڠن توانكو.
Lebih ramai pendengar, bahkan ada yang datang dari perkampungan-perkampungan berhampiran. 	 لبيه راماي ڤندڠر، بهكن اد يڠ داتڠ دري ڤركامڤوڠن٢ برهمڤيرن.
Engkau ingat bagaimana asalnya penduduk Kampung Merbau? Sesat dengan syirik dan khurafat. 	 اڠكاو ايڠت باڬايمان اصلڽ ڤندودوق كامڤوڠ مرباو؟  سست دڠن شيريک دان خرافت.
Berkemungkinan besar, Puteri Gunung Ledang itu sendiri membuat pakatan dengan Jagat Suci. 	 بركموڠكينن بسر، ڤوتري ڬونوڠ ليدڠ ايت سنديري ممبوات ڤاكتن دڠن جاڬت سوچي.
Dia asalnya tidak mahu datang, tetapi Tun Nirmala berkeras agar Nirnama menyertai mereka. 	 دي اصلڽ تيدق ماهو داتڠ، تتاڤي تون نيرمالا بركراس اڬر نيرنام مڽرتاي مريک.
Yang jelas, kelengkapan dan angka mereka jauh lebih besar berbanding sebelum-sebelum ini. 	 يڠ جلس، كلڠكڤن دان اڠک مريک جاءوه لبيه بسر بربنديڠ سبلوم٢ اين.
Nirnama, Cendana, Tun Nirmala dan Kasturi sama-sama tersenyum melihat ulas dua insan itu. 	 تيباله موسوه دڤرباتسن ترليهت سوسوق ڤنجي دان انسان لكسله سديا ساليڠله ڤسن ذيكيركن توهن تڬقكن إحسان  تيݢ راتوسن تيواسكن سريبو تيݢ ريبوان كسڤولوه ريبو بدر دان خنداق بوقتي نن قلبو توهنكن بنتو مسلم بركوبو  ڬاڬهكن راس مننتڠ ڤونت والاو تناݢ سماكين تنت تروسكن تومڤس بالا سي لعنة ايڠتله توهن سقسي نن مينت   نيرنام، چندانا، تون نيرمالا دان كستوري سام٢ ترسڽوم مندڠر شعير نديم.
Mereka lebih tertarik kepada nilai-nilai tertentu, menghasilkan banyak gaya yang berbeza. 	 مريک لبيه ترتاريق كڤد نيلاي٢ ترتنتو،  مڠحاصيلكن باڽق ڬاي يڠ بربيذا.
Ketika ini, barulah dia tersedar betapa dia tidak pernah memikirkan untuk berumah tangga. 	 كتيک اين، باروله دي ترسدر بتاڤ دي تيدق ڤرنه مميكيركن اونتوق برومه تڠݢ.
Mujur dia cekap menyeimbangkan diri, dan tetap menjejak bumi dengan kedua-dua belah kaki. 	 موجور دي چكڤ مڽايمبڠكن ديري، دان تتڤ منججق بومي دڠن كدوا-دوا بله كاكي.
Benarkah? Apa yang membuatkan mereka mahu bertindak sedemikian?  Mungkin kerana terancam. 	 بنركه؟ اڤ يڠ ممبواتكن مريک ماهو برتيندق سدميكين؟  موڠكين كران ترانچم.
Alhamdulillah, orang-orang Jagat Suci di Wilayah Ujong ini telah berjaya kami tumbangkan. 	 الحمدللّه، اورڠ٢ جاڬت سوچي دولايه اوجوڠ اين تله برجاي كامي تومبڠكن.
Apabila Sang Kelembai semakin hampir kepadanya, dia menepis setiap cakaran yang dihantar. 	 اڤابيلا سڠ كلمباي سماكين همڤير كڤدڽ، دي منڤيس ستياڤ چاكرن يڠ دهنتر.
Gerombolan tentera Indera Kayangan dan Segenting Kra yang datang mengasak, akan berundur. 	 ڬرومبولن تنترا ايندرا كايڠن دان سڬنتيڠ كرا يڠ داتڠ مڠاسق، اكن براوندور.
Dengan sihirnya, dia mendapatkan bantuan jin-jin untuk mengesan keberadaan Sang Kelembai. 	 دڠن سيحيرڽ، دي منداڤتكن بنتوان جين٢ اونتوق مڠسن كبراداءن سڠ كلمباي.
Jelas, Nirnama agak kelam-kabut berhadapan Tuha sehingga tidak dapat mempertahankan diri. 	 جلس، نيرنام اڬق كلم-كابوت برهادڤن توها سهيڠݢ تيدق داڤت ممڤرتاهنكن ديري.
Walau tidak terpamer apa-apa senjata, Nirnama yakin Puteri Gunung Ledang tetap berbahaya. 	 والاو تيدق ترڤامير اڤ٢ سنجات، نيرنام يقين ڤوتري ڬونوڠ ليدڠ تتڤ بربهاي.
Hakikatnya, ayahanda menguji kita sebelum membuat keputusan menghantar aku kepada guruku. 	 حقيقتڽ، ايهندا مڠوجي كيت سبلوم ممبوات كڤوتوسن مڠهنتر اكو كڤد ڬوروكو.
Mereka perlu melumpuhkan tentera bergajah dengan menyasarkan mata haiwan-haiwan tersebut. 	 مريک ڤرلو ملومڤوهكن تنترا برڬاجه دڠن مڽاسركن مات حيوان٢ ترسبوت.
Taming Sari yang semenjak tadi terapung-apung di sisi Tuha, kembali ke telapak tangannya. 	 تاميڠ ساري يڠ سمنجق تادي تراڤوڠ-اڤوڠ دسيسي توها، كمبالي كتلڤق تاڠنڽ.
Sultan Mahmud menjerit ketakutan, tetapi Adiwaja, Alauddin dan Nirnama jelas tidak cemas. 	 سلطان محمود منجريت كتاكوتن، تتاڤي اديواج، علاءالدين دان نيرنام جلس تيدق چمس.
Sekali lagi Taming Sari meluncur untuk merodok Alauddin, kali ini dari belakang tubuhnya. 	 سكالي لاڬي تاميڠ ساري ملونچور اونتوق مرودوق علاءالدين، كالي اين دري بلاكڠ توبوهڽ.
Dia berlari melepasi banyak tentera Semutar Putih untuk mendapatkan Puteri Gunung Ledang. 	 دي برلاري ملڤسي باڽق تنترا سموتر ڤوتيه اونتوق منداڤتكن ڤوتري ڬونوڠ ليدڠ.
Tidakkah engkau tahu bahawa usaha engkau hanyalah sia-sia? Jagat Suci menjatuhkan tangan. 	 تيدقكه اڠكاو تاهو بهاوا اوسها اڠكاو هاڽله سيا٢؟ جاڬت سوچي منجاتوهكن تاڠن.
Giliran engkau menjadi ketua kami, membuatkan engkau gila kuasa! Sultan Mansur membentak. 	 ڬيليرن اڠكاو منجادي كتوا كامي، ممبواتكن اڠكاو ڬيلا كواس! سلطان منصور ممبنتق.
Engkau ada jin yang mampu memberikan engkau kekuatan luar biasa dan mampu membelah angin. 	 اڠكاو اد جين يڠ ممڤو ممبريكن اڠكاو كقواتن لوار بياسا دان ممڤو ممبله اڠين.
Nirnama bersuara perlahan, tetapi cukup untuk suaranya sampai ke pendengaran Nujum Surya. 	 نيرنام برسوارا ڤرلاهن، تتاڤي چوكوڤ اونتوق سواراڽ سمڤاي كڤندڠرن نجوم سوريا.
Apa maksudmu, Nirnama? Engkau mahu menolak kemuliaan ini? Puteri Santubong berkerut dahi. 	 اڤ مقصودمو، نيرنام؟ اڠكاو ماهو منولق كمولياءن اين؟ ڤوتري سنتوبوڠ بركروت داهي.
Manakala yang tidak memeluk agama Islam dibiarkan bebas dengan kepercayaan masing-masing. 	 مانكالا يڠ تيدق مملوق اڬام إسلام دبياركن بيبس دڠن كڤرچاياءن ماسيڠ٢.
Menandakan jika serangan Jagat Suci itu mendarat ke tubuhnya, dia boleh mati serta-merta. 	 مننداكن جک سرڠن جاڬت سوچي ايت مندارت كتوبوهڽ، دي بوليه ماتي سرتا-مرتا.
Semakin banyak tanah terbelah dan pecah, menyebabkan pergerakan Adiwaja semakin tersekat. 	 سماكين باڽق تانه تربله دان ڤچه، مڽببكن ڤرڬرقن اديواج سماكين ترسكت.
Guru!!! Mata Nirnama terbelalak saat melihat Jagat Suci mencantas kedua-dua kaki Adiwaja. 	 ڬورو!!!  مات نيرنام تربلالق ساعت مليهت جاڬت سوچي منچانتس كدوا-دوا كاكي اديواج.
Keadaan yang sedikit riuh tadi hasil keterujaan mendengar cerita Cendana, kembali senyap. 	 كأداءن يڠ سديكيت ريوه تادي حاصيل كتروجاءن مندڠر چريتا چندانا، كمبالي سڽڤ.
Sultan baharu Kerajaan Semutar Putih itu tidak kisah pakaian kebesarannya dikotori tanah. 	 سلطان بهارو كراجاءن سموتر ڤوتيه ايت تيدق قيصه ڤاكاين  كبسرنڽ دكوتوري تانه.
Guru akan mengajarkan mereka hal-hal berkait Islam, seperti urusan ibadah dan sebagainya. 	 ڬورو اكن مڠاجركن مريک حال٢ بركاءيت إسلام، سڤرتي اوروسن عباده دان سباڬايڽ.
Orang ramai memenuhi ruang bagai anai-anai bubus, berkerumun kerana mahu melihat sesuatu. 	 اورڠ راماي ممنوهي رواڠ باڬاي اناي٢ بوبوس، بركرومون كران ماهو مليهت سسواتو.
50 orang pahlawan terbaik daripada kalangan tentera utama Sekebun Serendah bersiap sedia. 	 50 اورڠ ڤهلاون ترباءيق درڤد كالڠن تنترا اوتام سكبون سرنده برسياڤ سديا.
Dia mengabaikan pertempuran antara tenteranya dengan pahlawan yang dipimpin oleh Cendana. 	 دي مڠابايكن ڤرتمڤورن انتارا تنتراڽ دڠن ڤهلاون يڠ دڤيمڤين اوليه چندانا.
Tetapi engkau tetap tidak akan dapat menewaskan aku!  Raja Ong Maha Perita Deria memecut. 	 تتاڤي اڠكاو تتڤ تيدق اكن داڤت منيواسكن اكو!  راج اوڠ مها ڤريتا دريا ممچوت.
Tangannya ditalakan ke arah Nirnama, seolah-olah dia sedang mencekik lelaki berparut itu. 	 تاڠنڽ دتالااكن كأره نيرنام، سأوله-اوله دي سدڠ منچكيق للاكي برڤاروت ايت.
Darahnya membuak mengalir mencemari lantai, sedang wajahnya dihiasi mata yang terbelalak. 	 دارهڽ ممبواق مڠالير منچماري لنتاي، سدڠ واجهڽ دهياسي مات يڠ تربلالق.
Siapa sangka, dengar juga engkau akan nasihat aku ya, Nirnama!  Senyuman Nirnama melebar. 	 سياڤا سڠک، دڠر جوݢ اڠكاو اكن نصيحت اكو يا، نيرنام!  سڽومن نيرنام مليبر.
Ini kerana mereka belum benar-benar cukup rehat dan kecederaan belum benar-benar dirawat. 	 اين كران مريک بلوم بنر٢ چوكوڤ ريحت دان كچدراءن بلوم بنر٢ دراوت.
Yaaaaa!  Tentera Indera Kayangan yang mengelilingi kawasan pertempuran itu mula bergerak. 	 يااااا!  تنترا ايندرا كايڠن يڠ مڠليليڠي كاوسن ڤرتمڤورن ايت مولا برڬرق.
Ini kisah perjuangan menyelamatkan ummah!  Pemerintah Indera Kayangan itu terkulat-kulat. 	 اين قيصه ڤرجواڠن مڽلامتكن اومة!  ڤمرينته ايندرا كايڠن ايت تركولت-كولت.
Dengan sihirnya, dia boleh membangkitkan mereka pada bila-bila masa sahaja, berkali-kali. 	 دڠن سيحيرڽ، دي بوليه ممبڠكيتكن مريک ڤد بيلا٢ماس سهاج، بركالي-كالي.
Bau hanyir dan busuk menusuk hidung semua, namun tiada siapa yang menghiraukan itu semua. 	 باءو هاڽيردان بوسوق منوسوق هيدوڠ سموا، نامون تياد سياڤا يڠ مڠهيراوكن ايت سموا.
Dia sedang mengelilingi medan perang dengan menunggang seekor kuda yang besar lagi gagah. 	 دي سدڠ مڠليليڠي ميدن ڤرڠ دڠن منوڠڬڠ سإيكوركودا يڠ بسرلاڬي ڬاڬه.
Di tengah-tengah ruang itu, persiapan untuk sebuah majlis akad nikah sudah disempurnakan. 	 دتڠه-تڠه رواڠ ايت، ڤرسياڤن اونتوق سبواه مجليس عقد نكاح سوده دسمڤورناكن.
Boleh kita mulakan majlis kita pada hari ini, Nirnama?  Nirnama mengangkat sembah hormat. 	 بوليه كيت مولاكن مجليس كيت ڤد هاري اين، نيرنام؟  نيرنام مڠڠكت سمبه حرمت.
Setiap serangan akan dibalasnya dengan tikaman pada kerongkong, kepala atau jantung lawan. 	 ستياڤ سرڠن اكن دبالسڽ دڠن تيكامن ڤد كروڠكوڠ، كڤالا اتاو جنتوڠ لاون.
Selain Wilayah Ujong, Wilayah Gangga Negara juga merupakan satu lagi kekuasaan Jagat Suci. 	 سلاءين ولايه اوجوڠ، ولايه ڬڠݢ نڬارا جوݢ مروڤاكن ساتو لاڬي ككواساءن جاڬت سوچي.
Sudah bersedia untuk tamatkan pertembungan ini?  Pendekar di hadapannya tersenyum panjang. 	 سوده برسديا اونتوق تمتكن ڤرتمبوڠن اين؟  ڤنديكر دهادڤنڽ ترسڽوم ڤنجڠ.
Pantas dia menoleh ke arah pendekar tadi, yang sedang menunduk mengambil semula tanjaknya. 	 ڤانتس دي منوليه كأره ڤنديكر تادي، يڠ سدڠ منوندوق مڠمبيل سمولا تنجقڽ.
Tidak pernah Nadim melihat wajah Nirnama keruh, hatta di tengah-tengah pertarungan sengit. 	 تيدق ڤرنه نديم مليهت واجه نيرنام كروه، حتى دتڠه-تڠه ڤرتاروڠن سڠيت.
Hah, engkau tidak menyaksikan peristiwa di Pelabuhan Batu Sawar? Senyuman Cendana melebar. 	 هاه، اڠكاو تيدق مڽقسيكن ڤريستيوا دڤلابوهن باتو ساور؟  سڽومن چندانا مليبر.
Tetapi cukup untuk aku bebas!  Dengan sebelah mata, dia dapat melihat Awang berkerut dahi. 	 تتاڤي چوكوڤ اونتوق اكو بيبس!  دڠن سبله مات، دي داڤت مليهت اوڠ بركروت داهي.
Lelaki berparut itu senyum segaris seraya perlahan-lahan menepuk belakang tubuh budak itu. 	 للاكي برڤاروت ايت سڽوم سڬاريس سرايا ڤرلاهن-لاهن منڤوق بلاكڠ توبوه بودق ايت.
Nirnama menundukkan pandangan, tidak mampu untuk bertaut mata dengan Cendana terlalu lama. 	 نيرنام منوندوقكن ڤندڠن، تيدق ممڤو اونتوق برتاءوت مات دڠن چندانا ترلالو لاما.
Apabila nakhoda kaya itu mahu berangkat pergi, dia menawarkan Tanggang untuk mengikutinya. 	 اڤابيلا نخودا كاي ايت ماهو برڠكت ڤرڬي، دي مناوركن تڠڬڠ اونتوق مڠيكوتيڽ.
Dia sudah jatuh cinta dan kagum dengan kerajinan Tanggang, tertawan dengan manis mulutnya. 	 دي سوده جاتوه چينتا دان كاڬوم دڠن كراجينن تڠڬڠ، ترتاون دڠن مانيس مولوتڽ.
Ah, aku ada dengar-dengar juga di masjid Perkampungan Medini, sewaktu ada ceramah di sana. 	 اه، اكو اد دڠر٢ جوݢ دمسجد ڤركامڤوڠن مديني، سوقتو اد چرامه دسان.
Nirnama akhirnya berbicara panjang, sambil melayarkan pandangan redup ke Istana Santubong. 	 نيرنام اخيرڽ بربيچارا ڤنجڠ، سمبيل ملايركن ڤندڠن ردوڤ كأيستان سنتوبوڠ.
Air kelapa ini amat enak dan menyamankan! Nadim menjulang sebiji kelapa hijau pada tangan. 	 اءير كلاڤ اين امت اينق دان مڽامنكن! نديم منجولڠ سبيجي كلاڤ هيجاو ڤد تاڠن.
Kita perlu mencari jalan untuk meyakinkan tuanku puteri berdua bahawa mereka telah ditipu. 	 كيت ڤرلو منچاري جالن اونتوق ميقينكن توانكو ڤوتري بردوا بهاوا مريک تله دتيڤو.
Dia hadir dan menghadap Raja Dewata Mulya, memohon izin untuk berteduh di Kerajaan Serawa. 	 دي حاضير دان مڠهادڤ راج ديواتا موليا، مموهون ايذين اونتوق برتدوه دكراجاءن سراوا.
Dan sesungguhnya akan disempurnakan seluruh balasan untuk perbuatan kita di akhirat kelak. 	 دان سسوڠڬوهڽ اكن دسمڤورناكن سلوروه بالسن اونتوق ڤربواتن كيت دأخيرة كلق.
Hah, apa kesaktian yang pernah Putera Serapi lakukan?  Dia kononnya memberikan ibu rezeki. 	 هاه، اڤ كسقتين يڠ ڤرنه ڤوترا سراڤي لاكوكن؟  دي كونونڽ ممبريكن ايبو رزقي.
Terhadap ayahanda dan bondaku!  Orang tua di hadapannya itu tidak memberikan tindak balas. 	 ترهادڤ ايهندا دان بونداكو!  اورڠ توا دهادڤنڽ ايت تيدق ممبريكن تيندق بالس.
Apabila semuanya telah selesai, dia berniat untuk pergi ke rumah-rumah yang masih berdiri. 	 اڤابيلا سمواڽ تله سلساي، دي برنية اونتوق ڤرڬي كرومه٢ يڠ ماسيه برديري.
Aliran air sungai yang menderu-deru di tepinya itu membuatkan jantungnya berdegup kencang. 	 اليرن اءير سوڠاي يڠ مندرو-درو دتڤيڽ ايت ممبواتكن جنتوڠڽ بردڬوڤ كنچڠ.
Apakah engkau sama seperti tiga purnama lalu?  Dia menundukkan kepala, memandang tubuhnya. 	 اڤاكه اڠكاو سام سڤرتي تيݢ ڤورنام لالو؟  دي منوندوقكن كڤالا، ممندڠ توبوهڽ.
Nampaknya, dengan adanya engkau, wahai pendekar, kemenanganku telah pun menjadi kepastian. 	 نمڤقڽ، دڠن اداڽ اڠكاو، واهاي ڤنديكر، كمنڠنكو تله ڤون منجادي كڤستين.
Dan bahawa Muhammad itu pesuruh Allah!  Semenjak itu, Nirnama menamakannya Muhammad Jenin. 	 دان بهاوا محمد ايت ڤسوروه الله!   سمنجق ايت، نيرنام مناماكنڽ محمد جنين.
Mereka berdua dalam keadaan berdakapan, menjadikan wajah mereka hampir sahaja bersentuhan. 	 مريک بردوا دالم كأداءن برداكڤن، منجاديكن واجه مريک همڤير سهاج برسنتوهن.
Batang pokok itu mula menerima kesan, tetapi tidak cukup untuk retak, apatah lagi tumbang. 	 باتڠ ڤوكوق ايت مولا منريما كسن، تتاڤي تيدق چوكوڤ اونتوق رتق، اڤاته لاڬي تومبڠ.
